PERF,PERF
1132,1132
1166.6,1166.6
1132.9,1132.9
1146.4,1423.5
1123.2,1406.3
1141,1345.2
1279.1,1338.7
1230,1335.6
1208,1333
1115.6,1309.8
1202.6,1306.5
1132,1306
1154.9,1304
1184.1,1184.1
1149.4,1149.4
1084.5,1084.5
1186.9,1186.9
1162.5,1162.5
1155.5,1155.5
1118.9,1118.9
1167.7,1167.7
1275.8,1275.8
1253,1253
1086.5,1086.5
1104.7,1104.7
1182.9,1182.9
1087.7,1087.7
1178.3,1423.5
1171.4,1406.3
1280.6,1345.2
1147.2,1338.7
1270.8,1335.6
1162.1,1333
1230.6,1309.8
1170.4,1306.5
1156.2,1306
1114.1,1304
1122.3,1122.3
1229.3,1229.3
1183.9,1183.9
1148.9,1148.9
1267.1,1267.1
1240.4,1240.4
1147.6,1147.6
1123.7,1123.7
1120.6,1120.6
1271.8,1423.5
1077.9,1406.3
1183.6,1345.2
1209.3,1338.7
1182.6,1335.6
1149,1333
1213.6,1309.8
1164.1,1306.5
1131.2,1306
1141,1304
1194.7,1194.7
1018.6,1018.6
1216.2,1216.2
1120.2,1120.2
1120.7,1120.7
1214.3,1214.3
1220.6,1220.6
1176.6,1176.6
1212.3,1212.3
1183.9,1183.9
1190.6,1190.6
1222.5,1222.5
1136.6,1423.5
1237.5,1406.3
1191.2,1345.2
1196.5,1338.7
1040.4,1335.6
1213,1333
1033.5,1309.8
1093.6,1306.5
1183.9,1306
1270.8,1304
1221.2,1221.2
1095.3,1095.3
1222.9,1222.9
1123.8,1123.8
1163.7,1163.7
1138.3,1138.3
1083.9,1083.9
1140.5,1140.5
1149.8,1149.8
1170.1,1170.1
1136.6,1136.6
1118.8,1423.5
1282.9,1406.3
1134.2,1345.2
1225.8,1338.7
1178,1335.6
1125.1,1333
1197.6,1309.8
1188.1,1306.5
1317.7,1306
1131.7,1304
1074.6,1074.6
1254.2,1254.2
1129.7,1129.7
1178,1178
1147.6,1147.6
1116.9,1116.9
1259.9,1259.9
1150.9,1150.9
1151.5,1423.5
1181.1,1406.3
1208.5,1345.2
1183,1338.7
1142.5,1335.6
1200.5,1333
1288.5,1309.8
1069.6,1306.5
1205,1306
1182.5,1304
1185.3,1185.3
1244.2,1244.2
1299.4,1299.4
1166.3,1166.3
1148.1,1148.1
1119.4,1119.4
1055.1,1055.1
1173.2,1173.2
1194.6,1423.5
979.5,1406.3
1188.5,1345.2
1098.2,1338.7
1187.2,1335.6
1233.7,1333
1163.7,1309.8
1202.1,1306.5
1198.8,1306
1155.9,1304
1176.9,1176.9
1171.5,1171.5
1248,1248
1111.2,1111.2
1271.5,1271.5
1229.9,1229.9
1171.4,1171.4
1252.2,1252.2
1299.2,1423.5
1100,1406.3
1237,1345.2
1217.9,1338.7
1139.3,1335.6
1201.3,1333
1193.9,1309.8
1178.7,1306.5
1164.1,1306
1162.7,1304
1114.5,1114.5
1170.3,1170.3
1223.8,1223.8
1110.1,1110.1
1113,1113
1148.2,1148.2
1210.2,1210.2
1322.2,1322.2
1233.7,1233.7
1188.6,1188.6
1242.5,1242.5
1144.4,1423.5
1155,1406.3
1234.4,1345.2
1225.3,1338.7
1119.9,1335.6
1117.1,1333
1102.3,1309.8
1096.3,1306.5
1117.3,1306
1295.8,1304
1193.5,1193.5
1210.4,1210.4
1298.9,1423.5
1165.4,1406.3
1093.4,1345.2
1126.1,1338.7
1167.3,1335.6
995.4,1333
1105.2,1309.8
1084.4,1306.5
1247.8,1306
1175.9,1304
1162.3,1162.3
1154.3,1154.3
1106.8,1106.8
1021.5,1021.5
1150.6,1150.6
1196.9,1196.9
1115.2,1115.2
1139,1139
1054.9,1423.5
1158.7,1406.3
1249.1,1345.2
1137.7,1338.7
1257.7,1335.6
1217.3,1333
1186.8,1309.8
1126.9,1306.5
1114.6,1306
1156.2,1304
1268.9,1268.9
1199.6,1199.6
1157.8,1157.8
1157.7,1157.7
1174.8,1174.8
1213,1423.5
1200.8,1406.3
1115.9,1345.2
1239.6,1338.7
1132.1,1335.6
1285,1333
1194,1309.8
1132.2,1306.5
992.3,1306
1193.6,1304
1178.4,1178.4
1365.6,1365.6
1114.8,1114.8
1214.2,1214.2
1185.8,1185.8
1094.8,1423.5
1181.8,1406.3
1188.9,1345.2
1205.8,1338.7
1240.7,1335.6
1171.4,1333
1052.7,1309.8
965.2,1306.5
1249.7,1306
1100.6,1304
1089.9,1089.9
1134,1134
1157.5,1157.5
1138.8,1138.8
1167.5,1167.5
1167.3,1423.5
1140.8,1406.3
1224,1345.2
1153.7,1338.7
1130.7,1335.6
1182.7,1333
1212.9,1309.8
1191,1306.5
1201.1,1306
1268.4,1304
1202.8,1202.8
1221.3,1423.5
1207.7,1406.3
1272.9,1345.2
1241.3,1338.7
1091,1335.6
1202.8,1333
1206.9,1309.8
1128.2,1306.5
1033.7,1306
1259.3,1304
1222.3,1222.3
1172.1,1172.1
1271.9,1271.9
1195.3,1195.3
1208.2,1208.2
1139,1139
1143.9,1143.9
1087.3,1087.3
1162.4,1162.4
1187.5,1187.5
1273.2,1273.2
1128.9,1128.9
1205,1205
1236.7,1236.7
1018.1,1018.1
1056.6,1056.6
1167.3,1167.3
1246.6,1246.6
1125.4,1125.4
1205.1,1205.1
1194,1194
1150.4,1150.4
1189.5,1189.5
1219.8,1219.8
1069.5,1069.5
1157.8,1157.8
1196.5,1196.5
1216.4,1216.4
1213.7,1213.7
988.3,988.3
1181.1,1181.1
1052.3,1052.3
1212.9,1212.9
1127.1,1127.1
1268.2,1268.2
1217.3,1217.3
1187.4,1187.4
1095.9,1095.9
1224,1224
1141.6,1141.6
