no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,PERF
0,0,0,1,0,1,1,166,1,0
0,0,1,0,1,0,0,54,5,0
0,0,0,0,0,0,1,180,4,0
0,0,1,0,0,0,1,103,9,0
0,0,0,0,1,0,1,172,2,0
0,0,0,0,1,1,0,42,5,0
0,0,1,0,0,1,0,51,8,0
0,0,0,0,1,1,0,178,3,0
0,1,0,1,1,0,0,104,3,0
0,0,0,0,1,1,1,57,9,0
0,1,0,0,1,0,1,47,8,0
0,1,0,1,1,0,0,149,3,0
0,0,0,0,1,0,0,54,8,0
0,1,0,0,1,0,1,50,8,0
0,1,0,0,0,1,0,77,3,0
0,1,0,0,1,0,0,53,7,0
0,1,0,0,1,0,0,108,5,0
0,1,0,1,1,0,1,137,2,0
0,0,0,0,1,0,0,61,8,0
0,0,0,0,1,1,1,63,5,0
0,1,0,0,1,1,0,85,9,0
0,0,0,0,0,0,0,129,7,0
0,1,0,0,1,1,1,136,3,0
0,0,0,0,0,0,0,51,8,0
0,1,0,0,1,0,0,57,8,0
0,1,0,0,0,0,0,162,6,0
0,1,0,1,0,1,1,185,2,0
0,1,1,0,0,1,1,99,7,0
1,1,0,0,1,1,0,178,5,0
0,1,0,0,0,0,0,96,3,0
0,0,1,0,0,0,1,102,6,0
0,0,1,0,0,0,0,52,8,0
